Company Name,Company Website,Company Location,Sector,Classification,Source
Financial Infrastructure - World Bank Group,https://www.worldbank.org/ext/en/topic/financial-sector/financial-infrastructure,"Porur, Chennai Radius",IT Services,Company,DuckDuckGo
Financial Inclusion - World Bank Group,https://www.worldbank.org/ext/en/topic/financial-sector/financial-inclusion,"Porur, Chennai Radius",IT Services,MNC,DuckDuckGo
Authors - World Bank Group,https://www.worldbank.org/en/publication/fintech-and-the-future-of-finance/authors,"Porur, Chennai Radius",Fintech,Company,DuckDuckGo
Development Topics | World Bank Group,https://www.worldbank.org/ext/en/development-topics,"Porur, Chennai Radius",Electric/Energy,Company,DuckDuckGo
"Understanding SaaS: Definition, Benefits, and Examples",https://www.investopedia.com/terms/s/software-as-a-service-saas.asp,"Porur, Chennai Radius",IT Services,Company,DuckDuckGo
Corporation Ward 152 Office,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Wipro CDC3,,"Porur, Chennai Radius",Other/Company,MNC,OpenStreetMap
iGATE,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Wipro CDC1,,"Porur, Chennai Radius",Other/Company,MNC,OpenStreetMap
Akshaya Shanthi,https://www.akshaya.com/,"27/44, Mount Road, 27/44, Anna Salai, Border Thottam, Padupakkam, Triplicane, Chennai, Tamil Nadu 600002",IT Services,Company,OpenStreetMap
Institute of Chartered Accountants of India,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Austria,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Russia,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Election commission office,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Hafiz Court,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Shafika,,kodambakkam High Road,Other/Company,Company,OpenStreetMap
Corporate Media Men Advertising Ltd,,4th Collage Road,Other/Company,Company,OpenStreetMap
Wheels India Limited,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Brakes India Limited,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Sundaram Clayton,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Lucas TVS Limited,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Sundaram Brake Lining,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Sundaram Towers,,Whites Road,Other/Company,Company,OpenStreetMap
Sundaram Fasteners,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Krishnamurthi Foundation of India,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Centre of Excellence in Wireless Technology,,"Kanagam road, Taramani",Other/Company,Company,OpenStreetMap
Reliance Telecom Center of Excellence,,"Kanagam road, Taramani",Other/Company,MNC,OpenStreetMap
Sithalapakkam Panchayat Office,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
SMS LABS SERVICES Pvt Ltd,,Poonamallee Thiruvallur Road,Other/Company,Company,OpenStreetMap
Service Integrator,http://gcl.in/,Alwarpet,Other/Company,Company,OpenStreetMap
Visionation Property Care,https://www.visionation.in/,Montieth Road,Other/Company,Company,OpenStreetMap
GlobalEnglish India Pvt Ltd.,https://globalenglish.com/,Mount Poonamallee Highway,IT Services,Company,OpenStreetMap
BSNL Customer Service Center,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
MOTOR FINANCE CORPORATION ,,Adithanar Road,Other/Company,Company,OpenStreetMap
NIIT Nungambakkam,,"Porur, Chennai Radius",IT Services,Company,OpenStreetMap
Eloka Enterprises Private Limited,https://eloka.net/,Padmanabha Nagar 5th Street,Other/Company,Company,OpenStreetMap
Chitalappakam Panchayat & EB Office,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Eureka Associates,http://www.eurekaassociates.in/,Chandradevanesan Street,Other/Company,Company,OpenStreetMap
Logic Soft Pvt. Ltd.,https://www.logicsoft.co.in/,Chokkalingam Nagar,Other/Company,Company,OpenStreetMap
Sub-Registrar Office,,Bharathmatha Street,Other/Company,Company,OpenStreetMap
LMS India Engg. Solutions Pvt. Ltd,,Kannadasan Road,Other/Company,Company,OpenStreetMap
Chennaicommercials,,South Usman Road,Other/Company,Company,OpenStreetMap
Zanec,,"Fourrts Avenue, Thuraipakkam",IT Services,Company,OpenStreetMap
THARASU Group of Magazines,,Rameswaram Street,Other/Company,Company,OpenStreetMap
Tamil Nadu Oil and Seeds Association,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Spritle Software,,Chakrapani St,IT Services,Company,OpenStreetMap
Gamesa,,"Porur, Chennai Radius",IT Services,Company,OpenStreetMap
WizDemy Software Private Limited,,"48th Cross St Valmiki Nagar, Thiruvalluvar Nagar, Thiruvanmiyur",Other/Company,Company,OpenStreetMap
LIC Housing Finance Ltd,,"Porur, Chennai Radius",Fintech,Company,OpenStreetMap
Qmax Test Equipments Private Limited,https://www.qmaxtest.com/,Elcot Avenue Sholinganallur,Other/Company,Company,OpenStreetMap
CSC Computer Education,,"Porur, Chennai Radius",IT Services,Company,OpenStreetMap
Jeevan Bhima Nagar Owners Welfare Association,,Madurai veerar street,Other/Company,Company,OpenStreetMap
Fayola Towers,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Adyog Software Solutions Pvt Ltd.,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
Sri gokulam chit funds,,"Porur, Chennai Radius",Other/Company,Company,OpenStreetMap
