Company Name,Company Website,Company Location,Sector,Classification,Source
Corporation Ward 152 Office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Ward 155 Corporation Office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Sri Lankan High Commission,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Wipro CDC3,,"Porur, Chennai Radius",Company/Office,MNC,OpenStreetMap (Overpass)
iGATE,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Wipro CDC1,,"Porur, Chennai Radius",Company/Office,MNC,OpenStreetMap (Overpass)
Akshaya Shanthi,https://www.akshaya.com/,"27/44, Mount Road, 27/44, Anna Salai, Border Thottam, Padupakkam, Triplicane, Chennai, Tamil Nadu 600002",IT Services,Startup,OpenStreetMap (Overpass)
Regional Meteorological Centre - IMD Chennai,,College Road  chennai,Company/Office,Startup,OpenStreetMap (Overpass)
RTO Office KK Nagar,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Institute of Chartered Accountants of India,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Austria,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Russia,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Mylapore Telephone Exchange,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
AU-KBC Research Centre,https://www.au-kbc.org/,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Election commission office,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Hafiz Court,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Shafika,,kodambakkam High Road  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
Corporate Media Men Advertising Ltd,,4th Collage Road  Chennai,Company/Office,Company,OpenStreetMap (Overpass)
Wheels India Limited,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Brakes India Limited,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Sundaram Clayton,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Lucas TVS Limited,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Sundaram Brake Lining,,"Porur, Chennai Radius",Company/Office,Startup,OpenStreetMap (Overpass)
Sundaram Towers,,Whites Road  Chennai,Company/Office,Startup,OpenStreetMap (Overpass)
