Company Name,Company Website,Company Location,Sector,Classification,Source
GingerBread,https://www.gingerbread.co.in/,Chennai,IT/Business Services,Company,OpenStreetMap
Green Park - Chennai,http://www.hotelgreenpark.com/default.htm,Arcot Road  Chennai,IT/Business Services,Company,OpenStreetMap
Courtyard Marriott,https://www.marriott.com/en-us/hotels/maacy-courtyard-chennai/overview/,Anna Salai (Mount Road)  Chennai,IT/Business Services,Company,OpenStreetMap
Karur Vysya Bank,https://www.kvb.co.in,Chennai,IT/Business Services,Company,OpenStreetMap
Canara Bank,https://www.canarabank.com/,Chennai,IT/Business Services,Company,OpenStreetMap
Indian Bank,https://www.indianbank.in/,Chennai,IT/Business Services,Company,OpenStreetMap
Axis Bank,https://www.axisbank.com,4th Main Road  Chennai,IT/Business Services,Company,OpenStreetMap
Padmanabha Nagar,https://www.greedge.com/,Chennai,IT/Business Services,Company,OpenStreetMap
Adyar Ananda Bhavan,https://aabsweets.com,RK Mutt Road  Chennai,IT/Business Services,Company,OpenStreetMap
Spencers,https://www.spencers.in/,2nd Avenue  Chennai,IT/Business Services,Company,OpenStreetMap
State Bank of India,https://www.sbi.co.in,Chennai,IT/Business Services,Company,OpenStreetMap
Sri Krishna Gana Sabha - Auditorium,https://www.krishnaganasabha.org/,Maharajapuram Santhanam Salai  Chennai,IT/Business Services,Company,OpenStreetMap
MIOT International,https://www.miotinternational.com/,"4/112, Mount Poonamalle High Rd, Sathya Nagar, Manapakkam, Chennai, Tamil Nadu 600089  Chennai",IT/Business Services,Company,OpenStreetMap
Central Institute of Petrochemicals Engineering and Technology,https://www.cipet.gov.in/,Chennai,IT Services,Company,OpenStreetMap
Akshaya Shanthi,https://www.akshaya.com/,"27/44, Mount Road, 27/44, Anna Salai, Border Thottam, Padupakkam, Triplicane, Chennai, Tamil Nadu 600002  Chennai",IT/Business Services,Company,OpenStreetMap
Central Bank of India,https://www.centralbankofindia.co.in,Chennai,IT/Business Services,Company,OpenStreetMap
HDFC Bank,https://www.hdfcbank.com,Chennai,IT/Business Services,Company,OpenStreetMap
Alliance Francais,https://madras.afindia.org/,College Road  Chennai,IT/Business Services,Company,OpenStreetMap
Indian Overseas Bank,https://www.iob.in,Chennai,IT/Business Services,Company,OpenStreetMap
Spencers Daily,https://www.spencers.in/,CP Ramaswamy Road  Chennai,IT/Business Services,Company,OpenStreetMap
Waitrose,https://www.waitrose.com/,P. S. Sivasamy Street  Chennai,IT/Business Services,Company,OpenStreetMap
Bank of Baroda,http://www.bankofbaroda.com,Chennai,IT/Business Services,Company,OpenStreetMap
AU-KBC Research Centre,https://www.au-kbc.org/,Chennai,IT/Business Services,Company,OpenStreetMap
AVM Rajeswari Theatre,https://avmrajeswaritheatre.com/,"No.7, Arcot Rd, Ottagapalayam, Kannika Puram, Vadapalani, Chennai, Tamil Nadu 600026  Chennai",IT/Business Services,Company,OpenStreetMap
Kamala Cinemas,http://kamalacinemas.com/,Chennai,IT/Business Services,Company,OpenStreetMap
Vasantha Bhavan,https://www.vasantabhavan.in/,Chennai,IT/Business Services,Company,OpenStreetMap
Punjab National Bank,https://www.pnbindia.in,Chennai,IT/Business Services,Company,OpenStreetMap
IDBI Bank,https://www.idbibank.in,Abhiramapuram 1st Street  Chennai,IT/Business Services,Company,OpenStreetMap
Grace Supermarket,https://www.graceonline.in/,MMDA Colony Main Rd  Chennai,IT/Business Services,Company,OpenStreetMap
Star Bazaar,https://starbazaarindia.com/,Nelson Manickam Road  Chennai,IT/Business Services,Company,OpenStreetMap
The Institute of Mathematical Sciences,https://www.imsc.res.in/,Chennai,IT/Business Services,Company,OpenStreetMap
Spencers Super Market,https://www.spencers.in/,Arunachalam St  Chennai,IT/Business Services,Company,OpenStreetMap
Inox National,https://www.inoxmovies.com,"Arcot Road, Chandra Metro Mall, Virugambakkam Old 92, New 262, Chennai, Tamil Nadu 600092  Chennai",IT/Business Services,Company,OpenStreetMap
Hot Kitchen,http://www.hotkitchenecr.com/,East Costal Road  Chennai,IT/Business Services,Company,OpenStreetMap
WINNER TECH,https://www.winnertech.in/,Veerappa Nagar  Chennai,IT/Business Services,Company,OpenStreetMap
Ponnusamy Hotel,https://www.ponnusamyhotels.com/,"Anna Salai, Saidapet  Chennai",IT/Business Services,Company,OpenStreetMap
McDonald's,https://www.mcdonaldsindia.com/,"Dr.Seetharaman Nagar,Velacherry Village  Chennai",IT/Business Services,Company,OpenStreetMap
Nathella Jewellery,nathella.com/,Chennai,IT/Business Services,Company,OpenStreetMap
KFC,http://www.kfc.co.in/,"Vijaynagar, 3rd Cross Street  Chennai",IT/Business Services,Company,OpenStreetMap
Texas Fiesta,www.texasfiesta.in,"#17/2, Shaffee Mohammed Road, Off Greams & Khader Nawaz Khan Road  Chennai",IT/Business Services,Company,OpenStreetMap
Bank of India,https://www.bankofindia.co.in/,Chennai,IT/Business Services,Company,OpenStreetMap
Mash,www.mashrestocafe.com,"Haddows 2nd Street, Nungambakkam  Chennai",IT/Business Services,Company,OpenStreetMap
ICICI Bank,https://www.icicibank.com,LIC Colony Main Road  Chennai,IT/Business Services,Company,OpenStreetMap
Adyar Anand Bhavan,https://aabsweets.com,Grand Southern Trunk Road  Chennai,IT/Business Services,Company,OpenStreetMap
Allahabad Bank,https://www.allahabadbank.in,Chennai,IT/Business Services,Company,OpenStreetMap
The Farm,https://www.thefarmchennai.com/,Chennai,IT/Business Services,Company,OpenStreetMap
Union Bank of India,https://www.unionbankofindia.co.in/,Chennai,IT/Business Services,Company,OpenStreetMap
BSNL Telephone Exchange,https://www.chennai.bsnl.co.in/,"Periyar Street, Anna Nagar, Chithalapakkam  Chennai",IT/Business Services,Company,OpenStreetMap
KumaranKundram,https://mtcbus.org/,Chennai,IT/Business Services,Company,OpenStreetMap
Service Integrator,http://gcl.in/,Alwarpet  Chennai,IT/Business Services,Company,OpenStreetMap
Visionation Property Care,https://www.visionation.in/,Montieth Road  Chennai,IT/Business Services,Company,OpenStreetMap
Pazhamudhir Cholai,http://www.pazhamudhircholai.com,Jagannathapuram 1st Main road  Chennai,IT/Business Services,Company,OpenStreetMap
GlobalEnglish India Pvt Ltd.,https://globalenglish.com/,Mount Poonamallee Highway  Chennai,IT/Business Services,Company,OpenStreetMap
Chennai Jayanth Acupuncture Clinic,https://chennaiacupuncture.com/,"School Street, Koyambedu  Chennai",IT/Business Services,Company,OpenStreetMap
"AGS Cinemas, Vivira Mall",https://viviramall.com/ags/,Chennai,IT Services,Company,OpenStreetMap
unitags training,http://www.unitags.in,Chennai,IT/Business Services,Company,OpenStreetMap
चेन्नई में जापान के वाणिज्य दूतावास जनरल,https://www.chennai.in.emb-japan.go.jp/index.html,Chennai,IT/Business Services,Company,OpenStreetMap
LIC Premium Point,http://www.easylicindia.com,Rajiv Gandhi Salai  Chennai,IT/Business Services,Company,OpenStreetMap
Eloka Enterprises Private Limited,https://eloka.net/,Padmanabha Nagar 5th Street  Chennai,IT/Business Services,Company,OpenStreetMap
Enabled.in - Disability Information Web Site,https://enabled.in/wp/,Anna Salai (Mount Road)  Chennai,IT/Business Services,Company,OpenStreetMap
UCO Bank,https://www.ucobank.com,Velachery - Tambaram Main Road  Chennai,IT/Business Services,Company,OpenStreetMap
SSM Nagar,http://www.ssmbuilders.in/builders17/default.aspx,Chennai,IT/Business Services,Company,OpenStreetMap
Eureka Associates,http://www.eurekaassociates.in/,Chandradevanesan Street  Chennai,IT/Business Services,Company,OpenStreetMap
The French Loaf,https://thefrenchloaf.in/,Medavakkam Main Road  Chennai,IT/Business Services,Company,OpenStreetMap
Logic Soft Pvt. Ltd.,https://www.logicsoft.co.in/,Chokkalingam Nagar  Chennai,IT/Business Services,Company,OpenStreetMap
USAM Technology Solutions - CAD Services,https://usam.in/,Chennai,IT Services,Company,OpenStreetMap
DHANA STICKERS,dhanastickers.com,Poonamallee High Road  Chennai,IT/Business Services,Company,OpenStreetMap
Avereconsulting HQ,http://avereconsult.com/,Chennai,Business/Consulting,Company,OpenStreetMap
Andhra Bank,https://www.andhrabank.in,Medavakkam Main Road  Chennai,IT/Business Services,Company,OpenStreetMap
Hotel Ibis Chennai Sipcot,https://all.accor.com/hotel/6715/index.en.shtml,Chennai,IT/Business Services,Company,OpenStreetMap
Lifestyle,https://www.lifestylestores.com/,Chennai,IT/Business Services,Company,OpenStreetMap
Payilagam,https://payilagam.com/,Vijaya Nagar 3rd Cross Street Velachery Chennai,IT/Business Services,Company,OpenStreetMap
Saravana Bhavan,https://saravanabhavan.com//,"2nd Avenue, Anna Nagar  Chennai",IT/Business Services,Company,OpenStreetMap
TAJ KAZURA ( A Comfort Stay),www.tajkazura.com,"Kazura Garden,2nd Street,  Chennai",IT/Business Services,Company,OpenStreetMap
Mansuk's,http://mansuksweets.com,7th Avenue  Chennai,IT/Business Services,Company,OpenStreetMap
Qmax Test Equipments Private Limited,https://www.qmaxtest.com/,Elcot Avenue Sholinganallur Chennai,IT/Business Services,Company,OpenStreetMap
Durable Chrome Factory,https://www.durablechromefactory.in/,Chennai,IT/Business Services,Company,OpenStreetMap
Khadims,https://www.khadims.com/,Chennai,IT/Business Services,Company,OpenStreetMap
Touchmark Media,http://www.touchmarkmedia.in,"92nd St, 18th avenue, Ashok Nagar  Chennai",IT Services,Company,OpenStreetMap
Pandian Computers Chennai,www.pcchennai.in,kattabomman Street  Chennai,IT/Business Services,Company,OpenStreetMap
Blaze Dream Technologies Pvt Ltd,https://www.blazedream.com/,Pycrofts Garden Road  Chennai,IT/Business Services,Company,OpenStreetMap
Corporation Bank,https://corpbank.com/,Chennai,IT/Business Services,Company,OpenStreetMap
"Department of Criminology, University of Madras",https://www.unom.ac.in/index.php?route=department/department/deptpage&deptid=22,Chennai,IT/Business Services,Company,OpenStreetMap
Versutus Management Service Private ltd,https://www.versutus.com/,Kutchery Road  Chennai,Business/Consulting,Company,OpenStreetMap
Kalakshetra Foundation,kalakshetra.com,Anna St  Chennai,IT/Business Services,Company,OpenStreetMap
R6 KUMARAN NAGAR POLICE STATION ,tnpolice.gov.in,"3rd St, Ragavan Colony, Mettuppalayam, Ashok Nagar, Chennai, Tamil Nadu 600083  Chennai",IT/Business Services,Company,OpenStreetMap
iBoad,https://iboad.com/,"Kalaivanar Street, Ancheneyar nagar, Jalladianpet  Chennai",IT/Business Services,Company,OpenStreetMap
Firstcry.com Store Chennai Sholinganallur,https://www.firstcry.com/,Old Mahabalipuram Road  Chennai,IT/Business Services,Company,OpenStreetMap
Tamilnadu Teachers Education University,https://www.tnteu.in/,Chennai,IT/Business Services,Company,OpenStreetMap
Pondicherry Maritime Academy Chennai,https://www.pondicherrymaritime.com/,Angappan Naicken Street  Chennai,IT/Business Services,Company,OpenStreetMap
Apollo Pharmacy,https://www.apollopharmacy.in/,53rd Street  Chennai,IT/Business Services,Company,OpenStreetMap
J.J Nagar Police Booth (V3),tnpolice.gov.in,"ambattur Industrial Estate Road, Anna Nagar, J J Nagar, Mogappair East,  Chennai",IT/Business Services,Company,OpenStreetMap
FotoZone,https://fotozoneindia.com/,"Spurtank Road, Chetpet  Chennai",IT/Business Services,Company,OpenStreetMap
Otomatiks Parrys,https://www.otomatiks.com,Somu Chetty 4th Street  Chennai,IT/Business Services,Company,OpenStreetMap
SRM Institutes For Medical Science,https://www.simshospitals.com/,Jawaharlal Nehru Road (100 Feet Road)  Chennai,IT/Business Services,Company,OpenStreetMap
Shah Polymers,https://shahpolymers.com/,"Tannery St, Pallavaram  Chennai",IT/Business Services,Company,OpenStreetMap
Harini's Aishwaryam,hariniaishwaryam.blogspot.in,"Harini's Aishwaryam, Indian Air Force (IAF) Road  Chennai",IT/Business Services,Company,OpenStreetMap
MS Green Valley Gated Community Plots,https://msfoundations.co.in/,"Kundrathur Main Road, Kumananchavadi  Chennai",IT/Business Services,Company,OpenStreetMap
Alliance Orchid Springss,https://www.orchidsprings.in/,"Water Canal Road, Before DRJ Hospital,, Near Anna Nagar, Korattur Tank, Korattur  Chennai",IT/Business Services,Company,OpenStreetMap
Bollineni Hillside,bollinenihillside.com,"Nookampalayam Rd, Nookampalayam, Arasankazhani, Sithalapakkam  Chennai",IT/Business Services,Company,OpenStreetMap
Casa Grande -The Riviera,casagrande.in,Velachery Main Road  Chennai,IT/Business Services,Company,OpenStreetMap
VGN Pinnacle,https://vgn.in/,Mugalivakkam Main Road  Chennai,IT/Business Services,Company,OpenStreetMap
Baashyaam Happy Windows,https://www.bashyamgroup.com/,"AR NAGAR, CTA GARDEN, Kattupakkam, Padmavathi Nagar, Kamatchiamman Nagar, Poonamallee, Chennai  Chennai",IT/Business Services,Company,OpenStreetMap
ETA Star Jasmine Court,etastar.com,"Opposite Yamaha Showroom,, Survey No-214/32, Mount Poonamalle High Road, Jayalakshmi Nagar, Goparasanallur, Goparasanallur,  Chennai",IT/Business Services,Company,OpenStreetMap
KG Green Meadows,https://kgbuilders.com/,mahalakshmi nagar 3rd main road  Chennai,IT/Business Services,Company,OpenStreetMap
"12.972975, 80.218531",arsnest.com,6th Main Road  Chennai,IT/Business Services,Company,OpenStreetMap
Malles Arcadiaa,https://www.malles.in/,Chennai,IT/Business Services,Company,OpenStreetMap
Nahar Deep,https://nahars.com/,"Balu St, Kamaraj Nagar, Thiruvanmiyur, Chennai  Chennai",IT/Business Services,Company,OpenStreetMap
The Atrium,https://chennaiatrium.tripod.com/,"Kalakshetra Rd, Valluvar Nagar, Thiruvanmiyur, Chennai, Tamil Nadu  Chennai",IT/Business Services,Company,OpenStreetMap
Isha Homes,https://www.ishahomes.com/,"Megawin Towers, 2nd Ave, GOCHS Colony, Besant Nagar  Chennai",IT/Business Services,Company,OpenStreetMap
Navins Septem,https://navins.in/,"2nd Avenue, Indira Nagar, Adyar, Chennai - 600, 020, Indira Nagar, Adyar  Chennai",IT/Business Services,Company,OpenStreetMap
Ramaniyam,https://ramaniyam.com/,"Mahatma Gandhi Rd, Subramaniam Colony, Adyar  Chennai",IT/Business Services,Company,OpenStreetMap
Nahar Niketan,https://nahars.com/,"Indira Nagar 1st Main Rd, Indira Nagar, Adyar  Chennai",IT/Business Services,Company,OpenStreetMap
Nahar Cora,https://nahars.com/,"Ellaiyamman Koil St, Vannanthurai, Adyar,  Chennai",IT/Business Services,Company,OpenStreetMap
Lakshmi Nest,http://lakshminest.com/,1st Canal Cross Street Adyar Chennai,IT/Business Services,Company,OpenStreetMap
Ceedeeyes,ceedeeyes.in,"Sengani Amman Koil St, Mosque Colony, Maduvinkarai, Guindy  Chennai",IT/Business Services,Company,OpenStreetMap
Casa Grande Monte Carlo,casagrande.in,"Nagapattinam-Chennai Highway, NGR Colony, Gotha Medu Housing Board, Saidapet, NGR Colony, Gotha Medu Housing Board, West Saidapet  Chennai",IT/Business Services,Company,OpenStreetMap
chennai sea port,https://www.chennaiport.gov.in/,Chennai,IT/Business Services,Company,OpenStreetMap
Sree Amruthaa Palace,https://www.amruthaapalace.com/,Chennai,IT/Business Services,Company,OpenStreetMap
GRT Jewellers,https://www.grtjewels.com/,Chennai,IT/Business Services,Company,OpenStreetMap
Cafeteria,www.ccd.com,Govindu Street  Chennai,IT/Business Services,Company,OpenStreetMap
IIT Madras,https://www.iitm.ac.in/,Chennai,IT/Business Services,Company,OpenStreetMap
Nallasivan library,tncpim.org,vaithiyanathan street  Chennai,IT/Business Services,Company,OpenStreetMap
Block 27,https://apartmentadda.com/jeevan-bhima-nagar,Jeevan Bhima Nagar  Chennai,IT/Business Services,Company,OpenStreetMap
Starbucks,https://www.starbucks.in/,"TBR Tower, Near Ayyappa Temple, 2nd Avenue, Block Y, Anna Nagar, Y Block, Anna Nagar, Chennai, Tamil Nadu 600040  Chennai",IT/Business Services,Company,OpenStreetMap
Bombay Dyeing,https://bombaydyeing.com/,Chennai,IT/Business Services,Company,OpenStreetMap
NSIC,https://nsic.co.in/,Chennai,IT/Business Services,Company,OpenStreetMap
Excelencia itech consulting pvt limited,https://excelenciaconsulting.com/,Chennai,Business/Consulting,Company,OpenStreetMap
Mogappair West Bus Terminus,https://mtcbus.org/,"Goodwill Street, Mogappair West, Ambattur Industrial Estate  Chennai",IT/Business Services,Company,OpenStreetMap
TVS Show Room,https://www.tvsmotor.com/,"1st Ave, 4th Block, Mogappair West, Mogappair  Chennai",IT/Business Services,Company,OpenStreetMap
Vishnu Eye Clinic,http://vishnueyeclinic.com,"4th Block, Mogappair West, Ambattur Industrial Estate  Chennai",IT/Business Services,Company,OpenStreetMap
BSNL Office,https://www.bsnl.co.in/,"Mogappair West, Mogappair  Chennai",IT/Business Services,Company,OpenStreetMap
Royal Mens Hostel Chennai,http://www.royalhostel.in,"4th Block, Mogappair West, Ambattur Industrial Estate  Chennai",IT/Business Services,Company,OpenStreetMap
Van Heusen,https://www.vanheusenindia.com/,"Mogappair West Main Road, Ambattur Industrial Estate  Chennai",IT/Business Services,Company,OpenStreetMap
